facil_id,facil_type,name_ja,name_en,address,tel,lat,lon,toilet,elevator,escalator,parking,barrier,nursing,brail_tile,name_hira,fax,mail,start_time,end_time,no_serv_d,info,info_board,move_floor,sex,fee,subject,close_day,evacuation,temporary,med_dept,flood,ent1_lat,ent1_lon,ent1_n,ent1_w,ent1_d,ent1_brr,ent1_fl
6CBB790EBAAB3861BC72FDB334798073,99,99,99,99,99,35.6269980555556,139.7781075,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,99,99,99,
5E7F9045C17A39E3875337E0DEAE6A4E,99,99,99,99,99,35.6268997222222,139.778286666667,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,99,99,99,
AB60F5D8B73C302A86BA09293D8FA6A0,10,99,99,99,99,35.6238469444444,139.775097222222,99,99,99,99,99,1,99,99,99,99,99,99,99,99,3.0,99,3.0,1.0,99,99,99,99,99,99,,,,99,99,99,
C1D23B56D16A39F093BFB9A8B427CEF3,10,多目的トイレ,99,99,99,35.6278713888889,139.771608055556,99,99,99,99,99,1,99,99,99,99,99,99,99,99,2.0,99,99,99,99,99,99,99,99,99,,,,99,99,99,
0C6922A9932933B2A33A36E6E9A94E28,99,99,99,99,99,35.6278783333333,139.771844722222,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,99,99,99,
D013F02560403395988E18C510B95158,10,99,99,99,99,35.6329027777778,139.7776025,99,99,99,99,99,1,99,99,99,99,99,99,99,99,3.0,99,99,99,99,99,99,99,99,99,,,,99,99,99,
624A35854C353F2F9CD768DCF8AB633D,99,自動販売機,99,99,99,35.6269247222222,139.772276388889,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,99,99,99,
945654A308C93A0DBBDF2D0AE1E59CF9,10,多目的トイレ,99,99,99,35.6310575,139.777821388889,99,99,99,99,99,1,99,99,99,99,99,99,99,99,1.0,99,99,99,99,99,99,99,99,99,,,,99,99,99,
C02EAC9DD8D534E99915CCDBD678E92B,99,99,99,99,99,35.6276113888889,139.775157222222,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,99,99,99,
3FFD9AD609463D1E918A6E81F946031B,99,99,99,99,99,35.6284891666667,139.7765075,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,99,99,99,
2C86F87BCB8B381D8F8159F6A7665440,10,マリーンハウス内 多目的トイレ,99,99,99,35.6300466666667,139.775545833333,99,99,99,99,99,1,99,99,99,99,99,99,99,99,2.0,99,99,99,99,99,99,99,99,99,,,,99,99,99,
8EAAFBB9E125399786149FDB2C0F3370,10,会場バス待合所内 多目的トイレ,99,99,99,35.6288311111111,139.773533055556,99,99,99,99,99,1,99,99,99,99,99,99,99,99,2.0,99,99,99,99,99,99,99,99,99,,,,99,99,99,
1CC362DD69AE312190FEADC9CAA07F13,1,お台場海浜公園駅前交番,99,99,99,35.6293938888889,139.7773125,99,1.0,1.0,99,2.0,1,1.0,99,99,99,99,99,99,99.0,99.0,1.0,99,99,99,99,99.0,99.0,99,99,,,,99,99,99,
6DEF0E7287CC3F1A9A2C05FF6DFAD7D1,10,お台場レインボー公園（トイレ）,99,99,99,35.6329027777778,139.7776025,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99.0,99,99,99,99,99,99,99,,,,99,99,99,
3DEEDF8FAC4139CA9E94AC8717795DC7,10,セントラル広場公衆トイレ,99,99,99,35.6238469444444,139.775097222222,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,3.0,99,99,99,99,99,99,99,,,,99,99,99,
